Sample in Buffer,Sample in Window,TRIGGER,test_i/DataPath_xN_0/U0/coreArea_0_core/sample/cnt[14:0],test_i/DataPath_xN_0/U0/coreArea_0_core/scalarOutCnt[14:0],test_i/DataPath_xN_0/U0/coreArea_0_core/busIn/io_bus_payload_last,test_i/DataPath_xN_0/U0/coreArea_0_core/sample/logitsIn_valid,test_i/DataPath_xN_0/U0/coreArea_0_core/engine/scalarOut_tvalid,test_i/DataPath_xN_0/U0/coreArea_0_core/busIn/wkvFire
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,31990,7cf7,0,0,0,1
1,1,0,31990,7cf7,0,0,0,1
2,2,0,31990,7cf7,0,1,0,1
3,3,0,31991,7cf7,0,0,0,1
4,4,0,31991,7cf7,0,0,0,1
5,5,0,31991,7cf7,0,0,0,1
6,6,0,31991,7cf7,0,0,0,1
7,7,0,31991,7cf7,0,0,0,1
8,8,0,31991,7cf7,0,0,0,1
9,9,0,31991,7cf7,0,0,0,1
10,10,0,31991,7cf7,0,0,0,1
11,11,0,31991,7cf7,0,0,0,1
12,12,0,31991,7cf7,0,0,0,1
13,13,0,31991,7cf7,0,0,0,1
14,14,0,31991,7cf7,0,0,0,1
15,15,0,31991,7cf7,0,0,0,1
16,16,0,31991,7cf7,0,0,0,1
17,17,0,31991,7cf7,0,0,0,1
18,18,0,31991,7cf7,0,0,0,1
19,19,0,31991,7cf7,0,0,0,1
20,20,0,31991,7cf7,0,0,0,0
21,21,0,31991,7cf7,0,0,0,1
22,22,0,31991,7cf7,0,0,0,1
23,23,0,31991,7cf7,0,0,0,1
24,24,0,31991,7cf7,0,0,0,1
25,25,0,31991,7cf7,0,0,0,1
26,26,0,31991,7cf7,0,0,0,1
27,27,0,31991,7cf7,0,0,0,0
28,28,0,31991,7cf7,0,0,0,1
29,29,0,31991,7cf7,0,0,0,1
30,30,0,31991,7cf7,0,0,0,1
31,31,0,31991,7cf7,0,0,0,1
32,32,0,31991,7cf7,0,0,1,1
33,33,0,31991,7cf8,0,0,0,1
34,34,0,31991,7cf8,0,0,0,1
35,35,0,31991,7cf8,0,1,0,1
36,36,0,31992,7cf8,0,0,0,1
37,37,0,31992,7cf8,0,0,0,1
38,38,0,31992,7cf8,0,0,0,1
39,39,0,31992,7cf8,0,0,0,1
40,40,0,31992,7cf8,0,0,0,1
41,41,0,31992,7cf8,0,0,0,1
42,42,0,31992,7cf8,0,0,0,1
43,43,0,31992,7cf8,0,0,0,1
44,44,0,31992,7cf8,0,0,0,1
45,45,0,31992,7cf8,0,0,0,1
46,46,0,31992,7cf8,0,0,0,1
47,47,0,31992,7cf8,0,0,0,1
48,48,0,31992,7cf8,0,0,0,1
49,49,0,31992,7cf8,0,0,0,1
50,50,0,31992,7cf8,0,0,0,1
51,51,0,31992,7cf8,0,0,0,1
52,52,0,31992,7cf8,0,0,0,1
53,53,0,31992,7cf8,0,0,0,1
54,54,0,31992,7cf8,0,0,0,0
55,55,0,31992,7cf8,0,0,0,1
56,56,0,31992,7cf8,0,0,0,1
57,57,0,31992,7cf8,0,0,0,1
58,58,0,31992,7cf8,0,0,0,1
59,59,0,31992,7cf8,0,0,0,1
60,60,0,31992,7cf8,0,0,0,1
61,61,0,31992,7cf8,0,0,0,1
62,62,0,31992,7cf8,0,0,0,1
63,63,0,31992,7cf8,0,0,0,1
64,64,0,31992,7cf8,0,0,0,1
65,65,0,31992,7cf8,0,0,0,1
66,66,0,31992,7cf8,0,0,1,1
67,67,0,31992,7cf9,0,0,0,1
68,68,0,31992,7cf9,0,0,0,1
69,69,0,31992,7cf9,0,1,0,1
70,70,0,31993,7cf9,0,0,0,1
71,71,0,31993,7cf9,0,0,0,1
72,72,0,31993,7cf9,0,0,0,1
73,73,0,31993,7cf9,0,0,0,1
74,74,0,31993,7cf9,0,0,0,1
75,75,0,31993,7cf9,0,0,0,1
76,76,0,31993,7cf9,0,0,0,1
77,77,0,31993,7cf9,0,0,0,1
78,78,0,31993,7cf9,0,0,0,1
79,79,0,31993,7cf9,0,0,0,1
80,80,0,31993,7cf9,0,0,0,1
81,81,0,31993,7cf9,0,0,0,1
82,82,0,31993,7cf9,0,0,0,1
83,83,0,31993,7cf9,0,0,0,1
84,84,0,31993,7cf9,0,0,0,1
85,85,0,31993,7cf9,0,0,0,1
86,86,0,31993,7cf9,0,0,0,1
87,87,0,31993,7cf9,0,0,0,0
88,88,0,31993,7cf9,0,0,0,0
89,89,0,31993,7cf9,0,0,0,1
90,90,0,31993,7cf9,0,0,0,1
91,91,0,31993,7cf9,0,0,0,1
92,92,0,31993,7cf9,0,0,0,1
93,93,0,31993,7cf9,0,0,0,1
94,94,0,31993,7cf9,0,0,0,1
95,95,0,31993,7cf9,0,0,0,1
96,96,0,31993,7cf9,0,0,0,1
97,97,0,31993,7cf9,0,0,0,1
98,98,0,31993,7cf9,0,0,0,1
99,99,0,31993,7cf9,0,0,1,1
100,100,0,31993,7cfa,0,0,0,1
101,101,0,31993,7cfa,0,0,0,1
102,102,0,31993,7cfa,0,1,0,1
103,103,0,31994,7cfa,0,0,0,1
104,104,0,31994,7cfa,0,0,0,1
105,105,0,31994,7cfa,0,0,0,1
106,106,0,31994,7cfa,0,0,0,1
107,107,0,31994,7cfa,0,0,0,1
108,108,0,31994,7cfa,0,0,0,1
109,109,0,31994,7cfa,0,0,0,1
110,110,0,31994,7cfa,0,0,0,1
111,111,0,31994,7cfa,0,0,0,1
112,112,0,31994,7cfa,0,0,0,1
113,113,0,31994,7cfa,0,0,0,1
114,114,0,31994,7cfa,0,0,0,1
115,115,0,31994,7cfa,0,0,0,1
116,116,0,31994,7cfa,0,0,0,1
117,117,0,31994,7cfa,0,0,0,1
118,118,0,31994,7cfa,0,0,0,1
119,119,0,31994,7cfa,0,0,0,1
120,120,0,31994,7cfa,0,0,0,1
121,121,0,31994,7cfa,0,0,0,0
122,122,0,31994,7cfa,0,0,0,1
123,123,0,31994,7cfa,0,0,0,1
124,124,0,31994,7cfa,0,0,0,1
125,125,0,31994,7cfa,0,0,0,1
126,126,0,31994,7cfa,0,0,0,1
127,127,0,31994,7cfa,0,0,0,1
128,128,0,31994,7cfa,0,0,0,1
129,129,0,31994,7cfa,0,0,0,1
130,130,0,31994,7cfa,0,0,0,1
131,131,0,31994,7cfa,0,0,0,1
132,132,0,31994,7cfa,0,0,0,1
133,133,0,31994,7cfa,0,0,1,1
134,134,0,31994,7cfb,0,0,0,1
135,135,0,31994,7cfb,0,0,0,1
136,136,0,31994,7cfb,0,1,0,1
137,137,0,31995,7cfb,0,0,0,1
138,138,0,31995,7cfb,0,0,0,1
139,139,0,31995,7cfb,0,0,0,1
140,140,0,31995,7cfb,0,0,0,1
141,141,0,31995,7cfb,0,0,0,1
142,142,0,31995,7cfb,0,0,0,1
143,143,0,31995,7cfb,0,0,0,1
144,144,0,31995,7cfb,0,0,0,1
145,145,0,31995,7cfb,0,0,0,1
146,146,0,31995,7cfb,0,0,0,1
147,147,0,31995,7cfb,0,0,0,1
148,148,0,31995,7cfb,0,0,0,1
149,149,0,31995,7cfb,0,0,0,1
150,150,0,31995,7cfb,0,0,0,1
151,151,0,31995,7cfb,0,0,0,1
152,152,0,31995,7cfb,0,0,0,1
153,153,0,31995,7cfb,0,0,0,1
154,154,0,31995,7cfb,0,0,0,0
155,155,0,31995,7cfb,0,0,0,1
156,156,0,31995,7cfb,0,0,0,0
157,157,0,31995,7cfb,0,0,0,0
158,158,0,31995,7cfb,0,0,0,0
159,159,0,31995,7cfb,0,0,0,0
160,160,0,31995,7cfb,0,0,0,0
161,161,0,31995,7cfb,0,0,0,0
162,162,0,31995,7cfb,0,0,0,0
163,163,0,31995,7cfb,0,0,0,0
164,164,0,31995,7cfb,0,0,0,0
165,165,0,31995,7cfb,0,0,0,0
166,166,0,31995,7cfb,0,0,1,0
167,167,0,31995,7cfc,0,0,0,0
168,168,0,31995,7cfc,0,0,0,0
169,169,0,31995,7cfc,0,1,0,0
170,170,0,31996,7cfc,0,0,0,0
171,171,0,31996,7cfc,0,0,0,0
172,172,0,31996,7cfc,0,0,0,0
173,173,0,31996,7cfc,0,0,0,0
174,174,0,31996,7cfc,0,0,0,0
175,175,0,31996,7cfc,0,0,0,0
176,176,0,31996,7cfc,0,0,0,0
177,177,0,31996,7cfc,0,0,0,0
178,178,0,31996,7cfc,0,0,0,0
179,179,0,31996,7cfc,0,0,0,0
180,180,0,31996,7cfc,0,0,0,0
181,181,0,31996,7cfc,0,0,0,0
182,182,0,31996,7cfc,0,0,0,0
183,183,0,31996,7cfc,0,0,0,0
184,184,0,31996,7cfc,0,0,0,0
185,185,0,31996,7cfc,0,0,0,0
186,186,0,31996,7cfc,0,0,0,0
187,187,0,31996,7cfc,0,0,0,0
188,188,0,31996,7cfc,0,0,0,0
189,189,0,31996,7cfc,0,0,0,0
190,190,0,31996,7cfc,0,0,0,0
191,191,0,31996,7cfc,0,0,0,0
192,192,0,31996,7cfc,0,0,0,0
193,193,0,31996,7cfc,0,0,0,0
194,194,0,31996,7cfc,0,0,0,0
195,195,0,31996,7cfc,0,0,0,0
196,196,0,31996,7cfc,0,0,0,0
197,197,0,31996,7cfc,0,0,0,0
198,198,0,31996,7cfc,0,0,0,0
199,199,0,31996,7cfc,0,0,0,0
200,200,1,31996,7cfc,0,0,1,0
201,201,0,31996,7cfd,0,0,0,0
202,202,0,31996,7cfd,0,0,0,0
203,203,0,31996,7cfd,0,1,0,0
204,204,0,31997,7cfd,0,0,0,0
205,205,0,31997,7cfd,0,0,0,0
206,206,0,31997,7cfd,0,0,0,0
207,207,0,31997,7cfd,0,0,0,0
208,208,0,31997,7cfd,0,0,0,0
209,209,0,31997,7cfd,0,0,0,0
210,210,0,31997,7cfd,0,0,0,0
211,211,0,31997,7cfd,0,0,0,0
212,212,0,31997,7cfd,0,0,0,0
213,213,0,31997,7cfd,0,0,0,0
214,214,0,31997,7cfd,0,0,0,0
215,215,0,31997,7cfd,0,0,0,0
216,216,0,31997,7cfd,0,0,0,0
217,217,0,31997,7cfd,0,0,0,0
218,218,0,31997,7cfd,0,0,0,0
219,219,0,31997,7cfd,0,0,0,0
220,220,0,31997,7cfd,0,0,0,0
221,221,0,31997,7cfd,0,0,0,0
222,222,0,31997,7cfd,0,0,0,0
223,223,0,31997,7cfd,0,0,0,0
224,224,0,31997,7cfd,0,0,0,0
225,225,0,31997,7cfd,0,0,0,0
226,226,0,31997,7cfd,0,0,0,0
227,227,0,31997,7cfd,0,0,0,0
228,228,0,31997,7cfd,0,0,0,0
229,229,0,31997,7cfd,0,0,0,0
230,230,0,31997,7cfd,0,0,0,0
231,231,0,31997,7cfd,0,0,0,0
232,232,0,31997,7cfd,0,0,0,0
233,233,0,31997,7cfd,0,0,1,0
234,234,0,31997,7cfe,0,0,0,0
235,235,0,31997,7cfe,0,0,0,0
236,236,0,31997,7cfe,0,1,0,0
237,237,0,31998,7cfe,0,0,0,0
238,238,0,31998,7cfe,0,0,0,0
239,239,0,31998,7cfe,0,0,0,0
240,240,0,31998,7cfe,0,0,0,0
241,241,0,31998,7cfe,0,0,0,0
242,242,0,31998,7cfe,0,0,0,0
243,243,0,31998,7cfe,0,0,0,0
244,244,0,31998,7cfe,0,0,0,0
245,245,0,31998,7cfe,0,0,0,0
246,246,0,31998,7cfe,0,0,0,0
247,247,0,31998,7cfe,0,0,0,0
248,248,0,31998,7cfe,0,0,0,0
249,249,0,31998,7cfe,0,0,0,0
250,250,0,31998,7cfe,0,0,0,0
251,251,0,31998,7cfe,0,0,0,0
252,252,0,31998,7cfe,0,0,0,0
